"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2009-04-18T21:09:11"	"1240088951"	"Symphony No. 9 in E minor; 4th movement; Allegro con fuoco"	""	"Antonín Dvořák"	"0ff72316-6c3b-421f-b929-a0ac6af826ca"	"Symphony No. 9 in E minor; 4th movement; Allegro con fuoco"	""	"Antonín Dvořák"	"0ff72316-6c3b-421f-b929-a0ac6af826ca"
"2009-05-05T07:32:12"	"1241508732"	"Barabajagal"	"00040121-9aa9-4089-a2e3-2114ac954b38"	"Donovan"	"72d7d717-0837-4f2a-9641-d0f9fdd3acf7"	"Barabajagal"	"00040121-9aa9-4089-a2e3-2114ac954b38"	"Donovan"	"72d7d717-0837-4f2a-9641-d0f9fdd3acf7"
"2010-06-08T00:38:56"	"1275957536"	"Lisztomania (Alex Metric Remix)"	"ce80c94c-1b30-4361-9256-6bbbd15cb14e"	"Phoenix"	"02f4c1ff-65e0-4412-8e8b-6239b0faecb5"	"Lisztomania (Alex Metric Remix)"	"ce80c94c-1b30-4361-9256-6bbbd15cb14e"	"Phoenix"	"02f4c1ff-65e0-4412-8e8b-6239b0faecb5"
"2011-04-09T21:04:41"	"1302383081"	"Sleep Away"	"b78a64b6-2137-4823-ab45-7960ca3aa8ac"	"Bob Acri"	"d8f77d0e-ad14-4382-8426-453184dbd407"	"Sleep Away"	"b78a64b6-2137-4823-ab45-7960ca3aa8ac"	"Bob Acri"	"d8f77d0e-ad14-4382-8426-453184dbd407"
"2011-05-03T03:21:25"	"1304392885"	"Rolling in the Deep (REMIX) ft. Childish Gambino"	""	"Jamie xx"	"d1515727-4a93-4c0d-88cb-d7a9fce01879"	"Rolling in the Deep (REMIX) ft. Childish Gambino"	""	"Jamie xx"	"d1515727-4a93-4c0d-88cb-d7a9fce01879"
"2011-09-05T00:08:07"	"1315181287"	"Will Do"	"5bac31b0-a70e-48a8-8d1d-68bf82be4cf5"	"TV on the Radio"	"eb872766-98f6-453d-883f-2ae908a18315"	"Will Do"	"5bac31b0-a70e-48a8-8d1d-68bf82be4cf5"	"TV on the Radio"	"eb872766-98f6-453d-883f-2ae908a18315"
"2012-08-08T19:58:45"	"1344455925"	"Brock Lee Riddim"	"b42af975-e183-42e1-a0de-f072cd6ac3a6"	"Deadboy"	"437755b5-f0fe-4123-88d4-6fa2a6a034ab"	"Brock Lee Riddim"	"b42af975-e183-42e1-a0de-f072cd6ac3a6"	"Deadboy"	"437755b5-f0fe-4123-88d4-6fa2a6a034ab"
"2012-08-10T03:48:44"	"1344570524"	"Stoned"	"0b66101c-d8c4-4b2c-a752-fb47935c0c26"	"The Bicycle Thief"	"a45c61bf-3728-4ca6-a142-bfe6075e1976"	"Stoned"	"0b66101c-d8c4-4b2c-a752-fb47935c0c26"	"The Bicycle Thief"	"a45c61bf-3728-4ca6-a142-bfe6075e1976"
"2012-08-10T04:00:28"	"1344571228"	"Topi o uomini"	""	"Flea"	"0160b0be-71eb-435d-9f13-36523fd7070b"	"Topi o uomini"	""	"Flea"	"0160b0be-71eb-435d-9f13-36523fd7070b"
"2012-08-10T04:12:44"	"1344571964"	"Another"	"08b136c9-fc61-4fda-9ea7-2e20b0c20b78"	"Ataxia"	"c2b5da4f-31c2-4a02-80a1-e00008378157"	"Another"	"08b136c9-fc61-4fda-9ea7-2e20b0c20b78"	"Ataxia"	"c2b5da4f-31c2-4a02-80a1-e00008378157"
